country,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,basic_water,pop_mils,development_index,gdp_per_capita,eco_footprint,biocapacity,deficit_or_reserve,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,happiness_score
Mauritius,74.82426,20.72969,145.3546,0.01091,0.000575,3.06898,25.2,99.86639,1.24,0.77,8811.15,3.46,0.71,-2.75,6.446820269,9.201518449,6.666666667,8.03,9.357142857,5.0,7.717465632,7.510213253,6.764334254,9.587632401,8.425298409,7.747574312,8.01,7.863732816,5.648
Malawi,64.17274,17.38159,254.7219,0.042975,0.00439,2.0043,22.9,67.91184,15.91,0.43,493.84,0.81,0.66,-0.15,4.922643465,8.768905416,8.333333333,8.532777778,7.8125,7.5,7.445213609,6.058152642,4.673626155,6.723936391,6.076899619,5.759673978,5.86,6.652606805,4.156
Kenya,66.67854,18.62585,219.2986,0.03763,0.003575,1.63021,23.3,58.28035,43.18,0.54,1062.11,1.03,0.51,-0.52,3.953814707,7.142406129,6.666666667,7.214814815,8.333333333,7.5,6.44553669,7.821194755,4.913284598,9.21911917,6.685544813,7.364484937,7.2,6.822768345,4.356
Liberia,62.94294,15.78716,230.2532,0.05367,0.004325,3.53465,24.1,72.44901,4.19,0.42,397.38,1.21,2.57,1.35,3.786012471,8.202872283,6.666666667,9.207777778,7.208333333,4.166666667,6.403401744,7.364113374,4.186922888,9.362209474,6.188037156,5.696074829,6.56,6.481700872,3.622
Algeria,76.36365,21.9201,95.02545,0.02183,0.000905,0.59923,25.5,93.51585,38.48,0.73,5430.57,2.12,0.59,-1.53,3.819566026,8.043882199,5.0,4.944814815,7.380952381,0.833333333,5.281772109,3.616782254,4.690742835,7.253893581,4.127024824,5.268992397,4.99,5.135886055,6.355
Ethiopia,65.51109,18.13198,219.473,0.041555,0.00456,0.85709,20.6,40.04142,91.73,0.43,379.38,1.02,0.58,-0.44,3.302472672,6.698471607,6.666666667,5.552222222,5.252983157,6.666666667,5.064089941,6.57126919,4.644365028,5.732983571,5.056479414,6.645060594,5.73,5.397044971,4.508
Gabon,66.4489,18.31454,220.698,0.034585,0.0033799999999999,7.49607,25.2,85.62704000000001,1.63,0.67,11989.0,2.02,26.31,24.29,4.241028336,8.038732871,0.0,8.944444444,6.178571429,3.333333333,5.315575222,6.244963135,3.902531341,6.589812995,5.691934877,6.785844584,5.84,5.577787611,4.121
Ghana,63.44865,15.73683,241.2761,0.04228,0.00461,1.61959,23.9,80.43578000000001,25.37,0.57,1627.9,1.97,1.35,-0.62,5.747291576,9.008827092,10.0,8.081481481,8.75,7.5,7.872177815,7.019694663,5.356873168,6.972844492,6.49437524,7.150996088,6.6,7.236088908,4.276
Guinea,59.79942,15.29844,262.1077,0.06168,0.008395,0.34704,22.9,62.10819,11.45,0.41,459.09,1.41,2.09,0.68,3.120741098,7.032707727,3.333333333,8.54037037,5.788023635,1.666666667,5.371201607,6.54621401,3.227979181,7.944894022,5.07677247,6.875425102,5.93,5.650600803,3.607
Cameroon,58.06432,16.47642,341.3811,0.055775,0.007285,4.145580000000001,24.3,60.15572,21.7,0.5,1271.21,1.17,1.69,0.52,3.02691825,6.806230146,3.333333333,7.892962963,6.998575821,5.0,5.330774311,7.11162798,3.19956054,7.222024204,5.054770561,6.53004744,5.82,5.575387155,4.513
DR Congo,60.45245,16.91316,256.1018,0.075845,0.006085,0.6120800000000001,22.0,42.97677,65.7,0.42,338.63,0.82,3.07,2.25,2.603961178,6.245351819,1.666666667,8.509444444,6.703317185,5.0,4.947256786,7.131719827,2.629004551,7.345706139,5.509702341,5.748786109,5.67,5.308628393,4.272
Congo Republic,64.30374,17.6451,260.5036,0.04004,0.00411,5.86494,23.2,72.18665,4.34,0.57,1943.69,1.29,10.91,9.63,3.512352174,7.344832886,6.666666667,9.35,6.952380952,9.166666667,6.777867694,5.833377341,3.244860837,5.603963678,4.883224787,5.551182245,5.02,5.898933847,4.236
Argentina,76.94621,21.83528,111.4288,0.009855,0.0003,8.31052,27.7,99.07838,41.09,0.83,13540.0,3.14,6.92,3.78,5.744791027,9.040383237,10.0,7.795925926,8.738095238,10.0,8.099695682,5.346056135,3.904030401,5.614335974,3.982546906,5.369018774,4.84,6.469847841,6.65
United States,78.49759,23.31899,114.1238,0.0058649999999999,0.0002299999999999,8.8569,28.9,99.26371,317.5,0.91,49725.0,8.22,3.76,-4.46,6.949911658,9.101098169,10.0,8.854074074,9.241503522,9.25,8.747310216,6.426333682,7.396209007,9.84787425,7.653328354,8.827599714,8.03,8.388655108,7.104
Venezuela,74.05354,21.58961,156.7178,0.01411,0.00058,3.98964,26.7,95.77837,29.96,0.763846,10237.8,3.57,2.78,-0.79,2.060257402,6.294475638,8.333333333,6.884814815,5.109508378,7.5,5.521448913,4.68978402,2.00291539,1.942101065,3.281311445,2.483540144,2.88,4.200724456,6.084
Paraguay,74.19203,21.24912,145.5476,0.01782,0.000755,5.84504,26.7,98.56575,6.69,0.67,3557.31,4.16,10.52,6.36,4.108065759,7.834983075,8.333333333,8.174074074,8.380952381,7.5,6.974598187,8.184618864,3.840887889,9.28268472,7.28151234,6.144909202,6.95,6.962299094,5.538
El Salvador,73.67954,21.85309,176.8166,0.013175,0.00054,2.639,27.7,97.06386,6.3,0.66,3696.33,2.07,0.61,-1.46,4.355099989,6.5,10.0,9.088888889,7.452380952,7.5,6.917901981,8.429051699,3.576272354,9.808378599,7.678362506,6.243651346,7.15,7.033950991,6.068
Suriname,71.80816999999999,19.23344,180.4631,0.0178499999999999,0.0005449999999999,4.40653,26.5,94.5194,0.54,0.71,8190.7,4.25,89.33,85.08,4.930395401,7.220384563,10.0,9.486111111,8.520833333,10.0,7.788563046,7.10869573,5.21644612,5.995025905,7.204704436,6.267198877,6.36,7.074281523,6.269
